nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Tracking run with wandb version 0.21.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data1/gushengda/minesweeper/wandb/offline-run-20250809_102159-ku76ejlc
Using device: cuda
Update 1/6103 | Value Loss: 0.129 | Policy Loss: -0.064 | Entropy: 4.216 | Var: 0.324 | SPS: 1011 | Win Rate: 0.000 | ETA: 13:43:18
Update 2/6103 | Value Loss: 0.042 | Policy Loss: -0.056 | Entropy: 4.059 | Var: 0.408 | SPS: 1093 | Win Rate: 0.000 | ETA: 12:41:55
Update 3/6103 | Value Loss: 0.025 | Policy Loss: -0.062 | Entropy: 3.931 | Var: 0.407 | SPS: 1133 | Win Rate: 0.000 | ETA: 12:15:01
Update 4/6103 | Value Loss: 0.024 | Policy Loss: -0.061 | Entropy: 3.802 | Var: 0.428 | SPS: 1159 | Win Rate: 0.000 | ETA: 11:58:22
Update 5/6103 | Value Loss: 0.025 | Policy Loss: -0.067 | Entropy: 3.743 | Var: 0.435 | SPS: 1181 | Win Rate: 0.000 | ETA: 11:44:43
Update 6/6103 | Value Loss: 0.031 | Policy Loss: -0.059 | Entropy: 3.678 | Var: 0.383 | SPS: 1226 | Win Rate: 0.000 | ETA: 11:18:45
Update 7/6103 | Value Loss: 0.027 | Policy Loss: -0.064 | Entropy: 3.635 | Var: 0.434 | SPS: 1236 | Win Rate: 0.000 | ETA: 11:13:14
Update 8/6103 | Value Loss: 0.030 | Policy Loss: -0.062 | Entropy: 3.544 | Var: 0.407 | SPS: 1246 | Win Rate: 0.000 | ETA: 11:07:40
Update 9/6103 | Value Loss: 0.035 | Policy Loss: -0.068 | Entropy: 3.425 | Var: 0.338 | SPS: 1256 | Win Rate: 0.000 | ETA: 11:02:13
Update 10/6103 | Value Loss: 0.030 | Policy Loss: -0.065 | Entropy: 3.410 | Var: 0.371 | SPS: 1263 | Win Rate: 0.000 | ETA: 10:58:17
Update 11/6103 | Value Loss: 0.051 | Policy Loss: -0.053 | Entropy: 3.344 | Var: 0.266 | SPS: 1285 | Win Rate: 0.000 | ETA: 10:47:05
Update 12/6103 | Value Loss: 0.050 | Policy Loss: -0.056 | Entropy: 3.244 | Var: 0.277 | SPS: 1303 | Win Rate: 0.000 | ETA: 10:38:12
Update 13/6103 | Value Loss: 0.043 | Policy Loss: -0.051 | Entropy: 3.191 | Var: 0.267 | SPS: 1328 | Win Rate: 0.000 | ETA: 10:25:50
Update 14/6103 | Value Loss: 0.057 | Policy Loss: -0.062 | Entropy: 3.103 | Var: 0.250 | SPS: 1352 | Win Rate: 0.000 | ETA: 10:14:44
Update 15/6103 | Value Loss: 0.061 | Policy Loss: -0.054 | Entropy: 3.048 | Var: 0.224 | SPS: 1366 | Win Rate: 0.000 | ETA: 10:08:20
Update 16/6103 | Value Loss: 0.073 | Policy Loss: -0.065 | Entropy: 2.992 | Var: 0.208 | SPS: 1383 | Win Rate: 0.000 | ETA: 10:00:31
Update 17/6103 | Value Loss: 0.072 | Policy Loss: -0.056 | Entropy: 2.918 | Var: 0.198 | SPS: 1402 | Win Rate: 0.000 | ETA: 09:52:29
Update 18/6103 | Value Loss: 0.085 | Policy Loss: -0.066 | Entropy: 2.857 | Var: 0.174 | SPS: 1420 | Win Rate: 0.000 | ETA: 09:44:50
Update 19/6103 | Value Loss: 0.103 | Policy Loss: -0.069 | Entropy: 2.769 | Var: 0.136 | SPS: 1437 | Win Rate: 0.000 | ETA: 09:37:47
Update 20/6103 | Value Loss: 0.137 | Policy Loss: -0.076 | Entropy: 2.737 | Var: 0.103 | SPS: 1452 | Win Rate: 0.000 | ETA: 09:31:50
Update 21/6103 | Value Loss: 0.124 | Policy Loss: -0.064 | Entropy: 2.729 | Var: 0.137 | SPS: 1467 | Win Rate: 0.000 | ETA: 09:25:42
Update 22/6103 | Value Loss: 0.154 | Policy Loss: -0.074 | Entropy: 2.703 | Var: 0.100 | SPS: 1483 | Win Rate: 0.000 | ETA: 09:19:45
Update 23/6103 | Value Loss: 0.150 | Policy Loss: -0.081 | Entropy: 2.657 | Var: 0.111 | SPS: 1495 | Win Rate: 0.000 | ETA: 09:15:02
Update 24/6103 | Value Loss: 0.143 | Policy Loss: -0.083 | Entropy: 2.614 | Var: 0.148 | SPS: 1508 | Win Rate: 0.000 | ETA: 09:10:17
Update 25/6103 | Value Loss: 0.172 | Policy Loss: -0.083 | Entropy: 2.571 | Var: 0.135 | SPS: 1521 | Win Rate: 0.000 | ETA: 09:05:28
Update 26/6103 | Value Loss: 0.189 | Policy Loss: -0.076 | Entropy: 2.518 | Var: 0.100 | SPS: 1526 | Win Rate: 0.000 | ETA: 09:03:26
Update 27/6103 | Value Loss: 0.177 | Policy Loss: -0.080 | Entropy: 2.529 | Var: 0.121 | SPS: 1537 | Win Rate: 0.200 | ETA: 08:59:28
Update 28/6103 | Value Loss: 0.178 | Policy Loss: -0.078 | Entropy: 2.492 | Var: 0.140 | SPS: 1547 | Win Rate: 0.000 | ETA: 08:56:03
